gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000132698,10,5,5,8,12,12,0,14,129,4,6,0
ENSG00000254726,5951,4529,6678,7496,5074,7450,5934,4584,6745,14993,2537,7377
ENSG00000160789,1746,10194,2510,1232,2601,2088,1603,10167,2626,2465,1300,2043
ENSG00000196189,136,108,108,114,634,135,14,0,0,228,317,226
ENSG00000252236,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000160785,1058,1622,851,777,1246,823,1136,1547,792,389,623,744
ENSG00000260238,0,0,0,0,0,0,80,70,148,1,0,60
ENSG00000160783,756,402,716,923,335,672,803,378,572,462,168,533
ENSG00000242252,18,11,14,10,12,14,50,9,161,5,6,30
ENSG00000160781,473,271,140,423,443,293,530,353,241,212,222,194
ENSG00000198952,3956,5192,4435,3636,2842,4210,4093,5235,4300,7273,1421,4095
ENSG00000163472,75,102,169,95,150,87,17,224,305,48,301,0
ENSG00000198715,199,405,483,164,502,204,329,300,425,328,1005,222
ENSG00000189030,0,2,0,2,6,0,0,0,0,1,13,0
ENSG00000163468,8740,9651,8976,10019,6502,9468,8758,9791,8846,5010,13004,9479
ENSG00000228155,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000163467,9,27,19,16,18,22,150,111,72,8,9,0
ENSG00000132677,1,0,0,2,1,0,150,79,0,4,0,3
ENSG00000237390,1,2,0,2,0,0,0,24,0,1,1,0
ENSG00000125462,2013,10,15,1019,129,22,2088,0,0,2038,65,147
ENSG00000207933,0,0,0,0,0,0,0,117,0,0,0,0
ENSG00000236947,7,6,6,5,7,7,0,23,0,2,14,25
ENSG00000116604,918,1835,700,639,1391,822,1015,1913,779,1279,696,848
ENSG00000206651,1,1,0,0,1,0,0,47,61,0,0,42
ENSG00000260460,0,0,0,0,0,0,0,0,0,0,0,12
ENSG00000183856,1659,1173,2483,1996,397,1882,1621,1084,2406,998,794,1984
ENSG00000238843,0,0,1,0,0,0,115,0,0,0,0,38
ENSG00000187862,1,7,1,0,1,0,0,28,38,1,1,0
ENSG00000163382,731,1034,1302,1121,889,1147,839,906,1206,2243,1779,1204
ENSG00000160818,1133,1442,1016,1190,583,1331,1147,1451,1104,595,1167,1242
ENSG00000272971,3,0,1,2,6,2,43,0,121,4,12,49
ENSG00000132702,19,8,29,10,86,10,0,94,43,20,172,0
ENSG00000272068,0,31,21,2,11,3,0,0,113,1,23,0
ENSG00000132692,33,59,8,37,29,8,109,0,0,19,14,60
ENSG00000272405,6,100,33,3,50,23,0,0,151,2,25,162
ENSG00000229953,1,10,4,1,5,3,0,0,0,3,11,146
ENSG00000132688,35036,58035,45287,45236,48193,42521,35009,57937,45199,90472,96386,42597
ENSG00000237588,4,2,1,11,4,3,0,84,80,6,9,0
ENSG00000143320,3845,2332,4660,9810,3251,4364,3836,2390,4597,4905,1626,4428
ENSG00000223356,13,21,9,8,25,13,0,11,0,4,50,0
ENSG00000143319,959,1123,980,1020,696,1103,1046,1217,1017,936,1392,1232
ENSG00000143303,373,318,562,542,498,415,269,172,473,584,249,391
ENSG00000143314,417,815,673,472,429,519,311,951,727,372,215,531
ENSG00000143321,9416,6644,12556,14452,4009,12900,9518,6633,12516,14574,2005,12850
ENSG00000143294,2026,2120,2001,2160,1577,1889,2020,2255,1866,2148,789,1770
ENSG00000027869,4,13,21,14,3,4,28,153,42,113,7,41
ENSG00000198400,210,108,29,433,334,89,122,10,0,523,167,81
ENSG00000027644,38,51,5,68,417,26,0,11,57,183,209,0
ENSG00000187800,116,2064,877,28,708,181,33,1998,769,117,354,209
ENSG00000160838,16,27,6,14,21,11,94,0,105,22,43,0
