gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000143507,88,255,156,38,230,36,151,182,78,77,115,65
ENSG00000238042,0,0,0,0,0,0,0,37,0,0,0,0
ENSG00000228437,0,8,0,0,0,0,132,147,0,0,0,0
ENSG00000236230,1,0,0,0,0,0,0,0,0,0,0,128
ENSG00000234419,0,0,0,0,1,1,95,0,0,0,2,23
ENSG00000143512,22,10,5,12,9,10,6,0,11,6,18,1
ENSG00000143498,380,173,321,504,213,380,508,308,161,252,106,402
ENSG00000225265,74,27,79,75,74,55,0,0,159,151,37,0
ENSG00000154305,1773,1827,1771,1528,1976,1491,1673,1868,3543,3056,3952,1425
ENSG00000229399,1,2,3,1,1,2,0,0,6,0,1,0
ENSG00000272750,36,32,49,39,61,32,70,0,99,20,30,0
ENSG00000186063,194,225,251,236,126,213,138,194,502,473,63,73
ENSG00000162819,697,900,981,781,797,713,574,1012,1962,1562,1594,856
ENSG00000197520,0,0,0,0,0,0,86,0,0,0,0,69
ENSG00000228106,83,67,81,85,50,82,1,12,40,43,100,25
ENSG00000154309,326,275,340,295,310,257,424,212,681,148,155,278
ENSG00000234523,1,0,0,0,0,0,0,136,0,1,1,30
ENSG00000187554,4,16,14,2,31,4,0,0,29,5,16,0
ENSG00000236846,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000143502,544,97,92,60,334,350,561,12,185,30,669,315
ENSG00000178395,0,0,0,0,0,0,45,0,0,0,0,122
ENSG00000203697,1,0,7,0,4,1,0,0,4,0,2,0
ENSG00000227002,0,1,0,0,0,0,122,131,0,0,0,0
ENSG00000162909,3845,20134,8011,3548,6782,4872,3983,20187,16023,1774,13565,4997
ENSG00000143514,2441,2443,2962,3151,1617,2787,2373,2381,1481,6303,809,2642
ENSG00000227621,1,0,0,0,0,0,82,117,0,1,0,90
ENSG00000188460,4,7,5,3,1,6,0,149,10,7,1,0
ENSG00000233771,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000272645,54,57,60,47,120,45,6,168,30,95,60,40
ENSG00000232372,5,5,8,7,5,4,0,136,16,4,11,39
ENSG00000243000,1,0,0,0,0,0,17,88,1,0,0,71
ENSG00000185495,2,1,6,0,1,2,0,136,3,1,2,131
ENSG00000269358,0,0,1,0,2,0,37,0,3,0,1,0
ENSG00000229930,0,0,0,0,1,0,0,91,1,0,2,0
ENSG00000143756,985,1141,1119,1002,1079,928,974,1152,560,501,2159,1029
ENSG00000236773,3,5,3,1,3,1,113,26,6,3,7,70
ENSG00000143753,1001,2675,1685,832,2152,1027,897,2698,3370,416,1076,1017
ENSG00000201898,0,0,0,0,0,0,137,0,0,0,1,1
ENSG00000232628,2,4,0,2,2,1,121,0,0,4,1,0
ENSG00000237101,6,8,9,5,14,1,0,116,4,10,7,115
ENSG00000143748,990,732,980,1208,687,1030,1071,632,1961,604,1375,925
ENSG00000221406,1,1,0,0,1,1,4,2,0,1,0,0
ENSG00000229742,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000143771,1012,1354,2337,1101,1722,1194,900,1368,4674,550,861,1129
ENSG00000162923,2926,4600,3905,2909,5059,2962,2828,4638,7811,5818,10118,2875
ENSG00000266618,0,0,0,0,0,0,28,8,0,1,0,37
ENSG00000143786,52,171,40,58,85,39,124,289,81,29,171,2
ENSG00000229991,1,1,0,0,0,0,0,143,0,0,0,0
ENSG00000233384,0,6,0,0,0,0,66,53,0,0,0,112
ENSG00000229400,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000225334,0,1,0,0,0,0,43,0,0,0,0,64
ENSG00000185842,308,334,457,390,638,443,433,392,915,780,1277,393
ENSG00000143815,5534,3272,6074,8756,3229,6539,5530,3411,3037,17512,1615,6424
ENSG00000203691,91,31,24,63,27,69,137,0,12,32,54,0
ENSG00000234476,2,4,3,3,0,8,42,144,2,6,1,0
ENSG00000154380,7244,13863,11800,8479,15492,9136,7264,13835,23601,16958,30985,9083
ENSG00000227496,6,17,7,0,16,1,0,0,14,1,8,0
ENSG00000226349,0,4,0,0,2,0,61,35,1,0,5,109
ENSG00000143742,4032,1905,4800,7272,3491,5149,4132,1879,2400,3636,1746,5166
ENSG00000234112,1,0,2,0,3,1,0,0,1,0,2,126
ENSG00000143819,260,1243,583,355,1071,409,128,1225,1166,178,2143,430
ENSG00000242861,3,19,14,10,13,6,0,48,7,20,7,0
ENSG00000196187,146,472,271,251,423,175,136,486,543,126,212,129
ENSG00000243709,6,19,4,6,10,4,42,0,8,13,5,22
ENSG00000143811,566,772,1098,790,632,750,714,912,549,395,316,603
ENSG00000248322,0,0,11,0,1,0,123,144,6,0,3,40
ENSG00000143768,3,82,2770,6,611,33,81,98,1385,13,306,168
ENSG00000143751,650,868,970,641,531,782,325,865,1089,694,464,745
ENSG00000272562,5,0,5,9,4,7,3,72,94,137,10,47
ENSG00000163041,336,141,257,293,206,262,168,144,331,355,339,153
ENSG00000225518,3,12,12,14,1,5,2,0,0,118,0,151
ENSG00000182827,801,1285,1153,763,1310,1017,401,1288,1063,643,1419,957
ENSG00000234478,1,1,2,2,4,1,3,0,0,51,62,61
ENSG00000185155,6,4,15,1,4,4,3,0,20,50,142,33
ENSG00000183814,496,239,647,994,200,651,248,117,675,1138,326,521
ENSG00000238545,0,0,0,0,0,0,0,0,8,24,0,0
ENSG00000143799,9825,5951,11503,13229,3363,11238,19651,5911,11565,13328,3248,11369
ENSG00000229965,0,0,0,0,1,0,0,70,0,49,0,0
ENSG00000177770,1,0,0,0,0,0,0,140,76,0,0,111
ENSG00000203685,36,8,21,31,7,39,73,0,7,68,0,0
ENSG00000143772,626,450,1900,555,202,615,1252,549,1916,686,203,661
ENSG00000228548,0,0,0,0,0,0,0,0,4,49,0,8
ENSG00000143801,482,545,497,362,380,544,241,633,557,294,425,668
ENSG00000163050,393,501,369,619,384,427,196,536,254,594,337,560
ENSG00000228525,0,0,0,0,0,0,0,29,0,0,79,0
ENSG00000143776,2463,3205,2644,2361,1454,2106,4927,3297,2625,2384,1401,2115
ENSG00000228625,1,0,0,0,1,0,2,25,9,0,0,0
ENSG00000228729,1,0,0,0,0,1,2,0,0,6,66,0
ENSG00000236636,1,0,2,2,1,1,3,40,0,0,121,126
ENSG00000232864,1,0,0,1,0,1,3,92,0,0,107,0
ENSG00000224834,0,0,1,2,0,0,0,140,33,53,142,0
ENSG00000237469,0,0,0,0,1,0,0,0,1,0,24,0
ENSG00000227711,1,1,0,0,1,1,0,0,0,34,146,0
ENSG00000181450,655,295,619,994,305,810,328,293,766,1121,420,695
ENSG00000225934,1,0,0,2,1,0,0,0,49,0,134,73
ENSG00000215812,3,1,1,0,1,1,2,77,134,122,44,127
ENSG00000143740,745,825,844,845,555,867,373,804,850,965,553,824
ENSG00000081692,162,214,220,205,188,214,324,287,227,337,198,355
ENSG00000230005,2,4,1,1,4,2,1,56,0,0,0,77
ENSG00000143816,136,418,314,84,86,463,273,321,321,0,232,404
ENSG00000264483,1,0,0,1,0,1,2,0,35,112,130,119
ENSG00000233003,0,0,0,1,0,0,0,0,129,132,0,51
ENSG00000154342,63,21,180,7,8,0,126,36,173,0,0,95
ENSG00000143761,6464,11726,8288,6186,6366,6498,3232,11793,8347,6054,6344,6422
ENSG00000143793,697,546,873,774,650,869,349,478,907,626,638,743
ENSG00000162910,521,530,712,610,711,590,1042,510,675,572,594,724
ENSG00000224566,2,2,6,4,4,1,1,0,0,0,0,0
ENSG00000227625,0,0,0,0,0,0,0,0,76,0,85,0
ENSG00000143774,1850,2581,1677,1519,1937,1691,925,2446,1799,1641,1894,1563
ENSG00000198835,25,45,9,16,38,40,50,85,0,0,161,8
ENSG00000203684,6,13,6,8,12,6,13,0,45,12,66,4
ENSG00000181873,592,400,389,398,154,619,1184,279,274,489,115,671
ENSG00000162913,46,35,42,44,73,55,93,98,84,140,151,75
ENSG00000154358,1697,1160,1392,1947,2021,1763,3395,1053,1257,1937,2100,1705
ENSG00000269890,28,22,32,34,7,38,56,165,57,150,131,0
ENSG00000269934,7,4,6,4,2,5,4,124,0,0,83,0
ENSG00000270110,4,4,2,4,5,8,2,0,41,0,104,0
ENSG00000270104,1,1,4,1,3,3,3,104,0,74,131,95
ENSG00000154370,698,1051,865,691,714,892,349,996,849,761,697,830
ENSG00000231563,5,9,10,6,11,8,10,0,24,155,44,0
ENSG00000162931,55,61,119,71,108,106,28,11,23,124,134,0
ENSG00000168148,2,2,1,4,2,9,1,0,3,0,0,0
ENSG00000230841,2,0,0,2,3,0,4,75,143,0,38,132
ENSG00000181218,102,60,57,71,126,162,51,71,0,127,25,241
ENSG00000196890,3,3,1,2,4,3,2,0,24,0,84,0
ENSG00000266174,1,0,0,0,7,0,3,0,0,0,0,0
ENSG00000181201,0,0,0,0,2,1,0,93,32,61,99,123
ENSG00000168159,2917,3958,2965,2719,2924,2954,1458,4004,3111,2849,2961,2984
ENSG00000215811,1,5,0,3,2,1,2,98,0,54,0,144
ENSG00000202056,0,0,0,0,0,0,0,147,68,0,112,0
ENSG00000183929,20,34,13,9,14,11,41,0,0,108,0,37
ENSG00000201321,0,0,0,0,0,0,1,97,0,0,0,91
